,id,name,position,team,batting_summary,batting_gamesPlayed,batting_flyOuts,batting_groundOuts,batting_airOuts,batting_runs,batting_doubles,batting_triples,batting_homeRuns,batting_strikeOuts,batting_baseOnBalls,batting_intentionalWalks,batting_hits,batting_hitByPitch,batting_atBats,batting_caughtStealing,batting_stolenBases,batting_stolenBasePercentage,batting_groundIntoDoublePlay,batting_groundIntoTriplePlay,batting_plateAppearances,batting_totalBases,batting_rbi,batting_leftOnBase,batting_sacBunts,batting_sacFlies,batting_catchersInterference,batting_pickoffs,batting_atBatsPerHomeRun,batting_popOuts,batting_lineOuts,fielding_gamesStarted,fielding_caughtStealing,fielding_stolenBases,fielding_stolenBasePercentage,fielding_assists,fielding_putOuts,fielding_errors,fielding_chances,fielding_fielding,fielding_passedBall,fielding_pickoffs,pitching_summary,pitching_gamesPlayed,pitching_gamesStarted,pitching_flyOuts,pitching_groundOuts,pitching_airOuts,pitching_runs,pitching_doubles,pitching_triples,pitching_homeRuns,pitching_strikeOuts,pitching_baseOnBalls,pitching_intentionalWalks,pitching_hits,pitching_hitByPitch,pitching_atBats,pitching_caughtStealing,pitching_stolenBases,pitching_stolenBasePercentage,pitching_numberOfPitches,pitching_inningsPitched,pitching_wins,pitching_losses,pitching_saves,pitching_saveOpportunities,pitching_holds,pitching_blownSaves,pitching_earnedRuns,pitching_battersFaced,pitching_outs,pitching_gamesPitched,pitching_completeGames,pitching_shutouts,pitching_pitchesThrown,pitching_balls,pitching_strikes,pitching_strikePercentage,pitching_hitBatsmen,pitching_balks,pitching_wildPitches,pitching_pickoffs,pitching_rbi,pitching_gamesFinished,pitching_runsScoredPer9,pitching_homeRunsPer9,pitching_inheritedRunners,pitching_inheritedRunnersScored,pitching_catchersInterference,pitching_sacBunts,pitching_sacFlies,pitching_passedBall,pitching_popOuts,pitching_lineOuts,pitching_note,batting_note
0,666160,Mickey Moniak,CF,home,0-3,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,.---,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-.--,0.0,1.0,1.0,0.0,0.0,.---,0.0,2.0,0.0,2.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,691182,Adael Amador,2B,home,"0-2 | BB, K",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,.---,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,1.0,0.0,0.0,.---,2.0,4.0,0.0,6.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,518397,Scott Alexander,P,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,.---,0.0,0.0,0.0,0.0,.000,0.0,0.0,"1.0 IP, ER, K, 0 BB",1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,.---,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,1.0,0.0,0.0,24.0,7.0,17.0,.710,0.0,0.0,0.0,0.0,1.0,0.0,9.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,
3,669911,Michael Toglia,1B,home,0-4 | 2 K,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,.---,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-.--,1.0,0.0,1.0,0.0,0.0,.---,2.0,7.0,0.0,9.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,623474,Jimmy Herget,P,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,801403,Chase Dollander,P,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,608566,Germán Márquez,P,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,641857,Ryan McMahon,3B,home,0-1 | BB,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,.---,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,1.0,0.0,0.0,.---,1.0,0.0,0.0,1.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,607732,Jacob Stallings,P,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,.---,0.0,0.0,0.0,0.0,.000,0.0,0.0,"2.0 IP, ER, K, 0 BB",1.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,.---,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,6.0,1.0,0.0,0.0,26.0,9.0,17.0,.650,0.0,0.0,0.0,0.0,1.0,1.0,4.50,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
9,607536,Kyle Freeland,P,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
