,game_id,at_bat_index,ab_start_time,ab_end_time,inning,half_inning,is_complete,event_type,play_event_description,batter_id,batter_name,pitcher_id,pitcher_name,pitcher_hand,batter_side,result_type,play_result_event,play_result_description,rbi,home_score,away_score,is_out,balls,strikes,outs,pitch_number,call_code,call_description,pitch_type,pitch_code,ball_color,trail_color,is_in_play,is_strike,is_ball,play_balls,play_strikes,play_outs,start_speed,end_speed,strike_zone_top,strike_zone_zottom,zone,plate_time,extension,break_angle,break_length,break_vertical,break_vertical_induced,break_horizontal,spin_rate,spin_direction,launch_speed,launch_angle,total_distance,trjaectory,hardness,location,hit_x,hit_y,runner1_id,runner1_name,runner1_start,runner1_end,runner1_out_base,runner1_is_out,runner1_credit_rbi,runner1_credit_earned,runner1_event,coordinates_ay,coordinates_az,coordinates_pfxx,coordinates_pfxz,coordinates_px,coordinates_pz,coordinates_vx0,coordinates_vy0,coordinates_vz0,coordinates_x,coordinates_y,coordinates_x0,coordinates_y0,coordinates_z0,coordinates_ax,runner2_id,runner2_name,runner2_start,runner2_end,runner2_out_base,runner2_is_out,runner2_credit_rbi,runner2_credit_earned,runner2_event,runner3_id,runner3_name,runner3_start,runner3_end,runner3_out_base,runner3_is_out,runner3_credit_rbi,runner3_credit_earned,runner3_event,runner4_id,runner4_name,runner4_start,runner4_end,runner4_out_base,runner4_is_out,runner4_credit_rbi,runner4_credit_earned,runner4_event,runner5_id,runner5_name,runner5_start,runner5_end,runner5_out_base,runner5_is_out,runner5_credit_rbi,runner5_credit_earned,runner5_event,runner6_id,runner6_name,runner6_start,runner6_end,runner6_out_base,runner6_is_out,runner6_credit_rbi,runner6_credit_earned,runner6_event,updated_at
0,777977,11,2025-05-10T23:31:57.961Z,2025-05-10T23:32:20.092Z,2,top,1,pitch,"In play, out(s)",686765,Nick Sogard,666142,Cole Ragans,L,R,atBat,Flyout,Nick Sogard flies out to center fielder Drew Waters.,0,0,0,1,0,0,2,1,X,"In play, out(s)",Four-Seam Fastball,FF,"rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",1,0,0,0,0,1,93.4,84.6,3.08,1.41,1,0.405093,6.13782,45.6,4.8,-14.3,17.4,-14.3,2597.0,132.0,95.8,28.0,371.0,fly_ball,medium,8.0,145.2,50.77,686765,Nick Sogard,,,1B,1,0,0,Flyout,32.021,-13.2406,8.78615,10.2448,-0.350617,3.00953,-6.93784,-135.652,-5.69736,130.36,157.52,1.10942,50.0016,6.07422,16.2348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11 12:16:01
1,777977,33,2025-05-11T00:12:29.217Z,2025-05-11T00:13:35.462Z,5,top,1,pitch,Called Strike,686765,Nick Sogard,666142,Cole Ragans,L,R,atBat,Groundout,"Nick Sogard grounds out, shortstop Bobby Witt Jr. to first baseman Vinnie Pasquantino.",0,1,1,1,1,2,1,1,C,Called Strike,Knuckle Curve,KC,"rgba(170, 21, 11, 1.0)","rgba(153, 171, 0, 1.0)",0,1,0,0,1,0,79.5,72.8,3.12975,1.38375,8,0.476184,6.16656,9.6,13.2,-56.0,-12.4,9.8,2534.0,330.0,,,,,,,,,686765,Nick Sogard,,,1B,1,0,0,Groundout,24.7477,-41.1273,-5.22777,-6.70372,-0.129316,1.52449,-1.38572,-115.718,-1.88515,121.93,197.62,1.15872,50.0038,6.34715,-6.97926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11 12:16:01
2,777977,33,2025-05-11T00:12:29.217Z,2025-05-11T00:13:35.462Z,5,top,1,pitch,Swinging Strike,686765,Nick Sogard,666142,Cole Ragans,L,R,atBat,Groundout,"Nick Sogard grounds out, shortstop Bobby Witt Jr. to first baseman Vinnie Pasquantino.",0,1,1,1,1,2,1,2,S,Swinging Strike,Four-Seam Fastball,FF,"rgba(170, 21, 11, 1.0)","rgba(188, 0, 33, 1.0)",0,1,0,0,2,0,94.7,85.9,3.08,1.41,12,0.398859,6.12426,46.8,4.8,-15.8,14.9,-16.8,2606.0,133.0,,,,,,,,,686765,Nick Sogard,,,1B,1,0,0,Groundout,33.0896,-15.7365,9.88212,8.62721,0.593602,3.66835,-4.41747,-137.779,-3.91438,94.37,139.73,0.941435,50.006,6.18394,18.8379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11 12:16:01
3,777977,33,2025-05-11T00:12:29.217Z,2025-05-11T00:13:35.462Z,5,top,1,pitch,Ball,686765,Nick Sogard,666142,Cole Ragans,L,R,atBat,Groundout,"Nick Sogard grounds out, shortstop Bobby Witt Jr. to first baseman Vinnie Pasquantino.",0,1,1,1,1,2,1,3,B,Ball,Four-Seam Fastball,FF,"rgba(39, 161, 39, 1.0)","rgba(188, 0, 33, 1.0)",0,0,1,1,2,0,96.3,87.3,3.08,1.44998,11,0.392455,6.05123,49.2,4.8,-13.4,16.3,-15.8,2696.0,131.0,,,,,,,,,686765,Nick Sogard,,,1B,1,0,0,Groundout,33.9975,-13.4959,9.6718,9.48676,-0.656957,3.56438,-7.46036,-140.0,-4.69602,142.04,142.54,0.79662,50.0036,6.1586,19.0446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11 12:16:01
4,777977,33,2025-05-11T00:12:29.217Z,2025-05-11T00:13:35.462Z,5,top,1,pitch,"In play, out(s)",686765,Nick Sogard,666142,Cole Ragans,L,R,atBat,Groundout,"Nick Sogard grounds out, shortstop Bobby Witt Jr. to first baseman Vinnie Pasquantino.",0,1,1,1,1,2,1,4,X,"In play, out(s)",Changeup,CH,"rgba(26, 86, 190, 1.0)","rgba(0, 85, 254, 1.0)",1,0,0,1,2,0,84.8,77.3,3.08,1.41,12,0.444923,6.13012,33.6,7.2,-27.5,10.7,-18.1,2042.0,119.0,88.7,-32.0,8.0,ground_ball,medium,6.0,114.82,154.22,686765,Nick Sogard,,,1B,1,0,0,Groundout,25.7558,-22.9062,10.7062,6.04909,0.272122,3.35729,-5.13867,-123.353,-2.02354,106.63,148.13,0.997193,50.0047,6.12983,16.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11 12:16:01
5,777977,46,2025-05-11T00:41:33.273Z,2025-05-11T00:43:09.836Z,6,top,1,pitch,Foul,686765,Nick Sogard,664199,Taylor Clarke,R,L,atBat,Groundout,"Nick Sogard grounds out, second baseman Maikel Garcia to first baseman Vinnie Pasquantino.",0,1,4,1,2,2,2,1,F,Foul,Slider,SL,"rgba(170, 21, 11, 1.0)","rgba(0, 0, 254, 1.0)",0,1,0,0,1,1,86.7,80.6,3.08,1.41,9,0.432177,6.16024,8.4,8.4,-34.9,1.2,-4.9,2298.0,108.0,,,,,,,,,686765,Nick Sogard,,,1B,1,0,0,Groundout,23.2746,-30.518,2.33934,1.01986,0.555254,1.78524,3.31409,-126.251,-4.28322,95.84,190.58,-1.07347,50.0058,5.93243,3.81511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11 12:16:01
6,777977,46,2025-05-11T00:41:33.273Z,2025-05-11T00:43:09.836Z,6,top,1,pitch,Ball,686765,Nick Sogard,664199,Taylor Clarke,R,L,atBat,Groundout,"Nick Sogard grounds out, second baseman Maikel Garcia to first baseman Vinnie Pasquantino.",0,1,4,1,2,2,2,2,B,Ball,Changeup,CH,"rgba(39, 161, 39, 1.0)","rgba(0, 85, 254, 1.0)",0,0,1,1,1,1,89.7,83.1,3.22772,1.41484,14,0.419741,6.29227,31.2,7.2,-28.4,5.5,17.2,1719.0,245.0,,,,,,,,,686765,Nick Sogard,,,1B,1,0,0,Groundout,25.1954,-25.0862,-10.4455,4.10053,1.07642,-0.258714,9.01103,-130.088,-9.73672,75.97,245.77,-1.0615,50.0039,5.4089,-18.0513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11 12:16:01
7,777977,46,2025-05-11T00:41:33.273Z,2025-05-11T00:43:09.836Z,6,top,1,pitch,Called Strike,686765,Nick Sogard,664199,Taylor Clarke,R,L,atBat,Groundout,"Nick Sogard grounds out, second baseman Maikel Garcia to first baseman Vinnie Pasquantino.",0,1,4,1,2,2,2,3,C,Called Strike,Four-Seam Fastball,FF,"rgba(170, 21, 11, 1.0)","rgba(188, 0, 33, 1.0)",0,1,0,1,2,1,95.6,86.9,3.08,1.35979,9,0.395529,6.34098,33.6,3.6,-13.7,16.6,8.8,2283.0,222.0,,,,,,,,,686765,Nick Sogard,,,1B,1,0,0,Groundout,33.0784,-12.5504,-5.51606,10.1195,0.34378,1.80652,5.20755,-138.845,-8.73583,103.9,190.0,-0.845698,50.0025,5.84274,-10.6961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11 12:16:01
8,777977,46,2025-05-11T00:41:33.273Z,2025-05-11T00:43:09.836Z,6,top,1,pitch,Ball,686765,Nick Sogard,664199,Taylor Clarke,R,L,atBat,Groundout,"Nick Sogard grounds out, second baseman Maikel Garcia to first baseman Vinnie Pasquantino.",0,1,4,1,2,2,2,4,B,Ball,Slider,SL,"rgba(39, 161, 39, 1.0)","rgba(0, 0, 254, 1.0)",0,0,1,2,2,1,89.2,82.7,3.20968,1.36473,14,0.421801,6.44715,9.6,6.0,-28.2,6.1,-5.2,2234.0,200.0,,,,,,,,,686765,Nick Sogard,,,1B,1,0,0,Groundout,25.7851,-24.6088,2.26318,4.42524,1.41236,-0.0331664,5.12446,-129.6,-9.8492,63.16,239.68,-0.880681,50.005,5.68015,3.86883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11 12:16:01
9,777977,46,2025-05-11T00:41:33.273Z,2025-05-11T00:43:09.836Z,6,top,1,pitch,"In play, out(s)",686765,Nick Sogard,664199,Taylor Clarke,R,L,atBat,Groundout,"Nick Sogard grounds out, second baseman Maikel Garcia to first baseman Vinnie Pasquantino.",0,1,4,1,2,2,2,5,X,"In play, out(s)",Slider,SL,"rgba(26, 86, 190, 1.0)","rgba(0, 0, 254, 1.0)",1,0,0,2,2,1,87.1,80.8,3.08,1.41,5,0.430369,6.03271,9.6,8.4,-35.9,-0.1,-6.2,2313.0,127.0,92.7,-13.0,12.0,ground_ball,medium,4.0,154.86,150.16,686765,Nick Sogard,,,1B,1,0,0,Groundout,24.0402,-31.752,3.3592,0.256909,-0.176615,1.99663,0.774643,-126.886,-3.64231,123.73,184.87,-0.921863,50.0032,5.95946,5.52052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11 12:16:01
