,id,name,position,location,team,pitching_summary,pitching_gamesplayed,pitching_gamesstarted,pitching_flyouts,pitching_groundouts,pitching_airouts,pitching_runs,pitching_doubles,pitching_triples,pitching_homeruns,pitching_strikeouts,pitching_baseonballs,pitching_intentionalwalks,pitching_hits,pitching_hitbypitch,pitching_atbats,pitching_caughtstealing,pitching_stolenbases,pitching_stolenbasepercentage,pitching_numberofpitches,pitching_inningspitched,pitching_wins,pitching_losses,pitching_saves,pitching_saveopportunities,pitching_holds,pitching_blownsaves,pitching_earnedruns,pitching_battersfaced,pitching_outs,pitching_gamespitched,pitching_completegames,pitching_shutouts,pitching_pitchesthrown,pitching_balls,pitching_strikes,pitching_strikepercentage,pitching_hitbatsmen,pitching_balks,pitching_wildpitches,pitching_pickoffs,pitching_rbi,pitching_gamesfinished,pitching_runsscoredper9,pitching_homerunsper9,pitching_inheritedrunners,pitching_inheritedrunnersscored,pitching_catchersinterference,pitching_sacbunts,pitching_sacflies,pitching_passedball,pitching_popouts,pitching_lineouts,pitching_note,game_id
0,673513,Yuki Matsui,P,home,SD,"1.2 IP, 0 ER, 2 K, 0 BB",1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,.---,23.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,23.0,9.0,14.0,.610,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,778545
2,650633,Michael King,P,home,SD,"2.2 IP, 3 ER, 3 K, 4 BB",1.0,1.0,1.0,3.0,2.0,3.0,0.0,0.0,1.0,3.0,4.0,0.0,4.0,0.0,12.0,0.0,0.0,.---,76.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,8.0,1.0,0.0,0.0,76.0,35.0,41.0,.540,0.0,0.0,2.0,0.0,3.0,0.0,10.13,3.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,778545
3,663158,Robert Suarez,P,home,SD,"1.0 IP, 0 ER, 2 K, BB",1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,.---,24.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,24.0,11.0,13.0,.540,0.0,0.0,0.0,0.0,0.0,1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(S, 1)",778545
4,593974,Wandy Peralta,P,home,SD,"0.1 IP, 0 ER, 0 K, 0 BB",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,.---,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(W, 1-0)",778545
7,592094,Jason Adam,P,home,SD,"1.0 IP, 0 ER, K, 0 BB",1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,.---,15.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,15.0,4.0,11.0,.730,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"(H, 1)",778545
12,669093,Jeremiah Estrada,P,home,SD,"1.1 IP, 0 ER, K, BB",1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,.---,25.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,25.0,10.0,15.0,.600,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,778545
17,689690,Alek Jacob,P,home,SD,"1.0 IP, ER, K, 0 BB",1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,.---,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,1.0,0.0,0.0,31.0,7.0,24.0,.770,0.0,0.0,0.0,0.0,1.0,0.0,9.00,9.00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,778545
29,669276,Dylan Lee,P,away,ATL,"1.0 IP, 0 ER, 0 K, 0 BB",1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,.---,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,9.0,3.0,6.0,.670,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"(H, 1)",778545
34,593576,Héctor Neris,P,away,ATL,"0.0 IP, 3 ER, 0 K, 0 BB",1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,.---,18.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,18.0,7.0,11.0,.610,0.0,0.0,0.0,0.0,1.0,0.0,-.--,-.--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(L, 0-1)(BS, 1)",778545
40,519242,Chris Sale,P,away,ATL,"5.0 IP, 3 ER, 7 K, BB",1.0,1.0,1.0,6.0,2.0,3.0,1.0,0.0,0.0,7.0,1.0,0.0,6.0,0.0,20.0,0.0,3.0,1.000,84.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,15.0,1.0,0.0,0.0,84.0,26.0,58.0,.690,0.0,0.0,0.0,0.0,3.0,0.0,5.40,0.00,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,778545
